scenario_id,p,kappa,replicate,estimator_variant,q_used,backbone_hat,r_f,mae_b,p_hat,kappa_hat,d_hat,fallback_weight
p07_k01,0.75,1.0,10,fixed_q_0.3,0.3,10.240527380734216,0.9972471045705156,0.24052738073421587,,,,
p07_k01,0.75,1.0,10,oracle_aqf,0.2439914404485928,10.04839542324741,1.1833428344897035,0.04839542324740975,,,,
p07_k01,0.75,1.0,10,estimated_aqf,0.23362811854450366,10.024295265305721,1.2076295079078616,0.024295265305720903,0.5555286152398993,1.376119523855647,0.9730634470415308,0.4865317235207654
p07_k01,0.75,1.0,11,fixed_q_0.1,0.1,9.302082458501884,2.076068279643442,0.697917541498116,,,,
p07_k01,0.75,1.0,11,fixed_q_0.2,0.2,9.813329218531406,1.4663772914016233,0.18667078146859417,,,,
p07_k01,0.75,1.0,11,fixed_q_0.3,0.3,10.184929411135302,1.0737321812277258,0.18492941113530215,,,,
p07_k01,0.75,1.0,11,oracle_aqf,0.2439914404485928,10.033112530023075,1.2280266741288302,0.03311253002307524,,,,
p07_k01,0.75,1.0,11,estimated_aqf,0.250149410003647,10.046837576622984,1.2135815838250277,0.046837576622984045,0.4750668340453637,1.649200995309547,1.1661612073229841,0.5830806036614921
p07_k01,0.75,1.0,12,fixed_q_0.1,0.1,9.38607010313594,1.9909939589028127,0.6139298968640592,,,,
p07_k01,0.75,1.0,12,fixed_q_0.2,0.2,9.859541584266578,1.432031981623183,0.14045841573342166,,,,
p07_k01,0.75,1.0,12,fixed_q_0.3,0.3,10.237907063443966,1.0343930040110059,0.2379070634439664,,,,
p07_k01,0.75,1.0,12,oracle_aqf,0.2439914404485928,10.072678440863596,1.203396186081174,0.0726784408635961,,,,
p07_k01,0.75,1.0,12,estimated_aqf,0.2446941463261051,10.074438670901804,1.2015448936182909,0.07443867090180412,0.49568826794520504,1.6657491973582619,1.1778625532080755,0.5889312766040378
p07_k01,0.75,1.0,13,fixed_q_0.1,0.1,9.405938582914482,1.907715783803295,0.5940614170855181,,,,
p07_k01,0.75,1.0,13,fixed_q_0.2,0.2,9.846641463933755,1.4032188464410762,0.1533585360662446,,,,
p07_k01,0.75,1.0,13,fixed_q_0.3,0.3,10.206920952700624,1.0433934621221221,0.20692095270062438,,,,
p07_k01,0.75,1.0,13,oracle_aqf,0.2439914404485928,9.984437694848042,1.2588245476958286,0.015562305151958,,,,
p07_k01,0.75,1.0,13,estimated_aqf,0.24564223550053588,9.993146524157893,1.25001839462302,0.006853475842106604,0.4919822771745418,1.6973164267344207,1.2001839551632287,0.6000919775816144
p07_k01,0.75,1.0,14,fixed_q_0.1,0.1,9.407661612414623,1.7615884222580567,0.5923383875853769,,,,
p07_k01,0.75,1.0,14,fixed_q_0.2,0.2,9.798534153083367,1.3128142649179753,0.2014658469166335,,,,
p07_k01,0.75,1.0,14,fixed_q_0.3,0.3,10.095899244107322,1.0103229345118208,0.09589924410732209,,,,
p07_k01,0.75,1.0,14,oracle_aqf,0.2439914404485928,9.965758582944025,1.1378399849549263,0.034241417055975276,,,,
p07_k01,0.75,1.0,14,estimated_aqf,0.2942570169650343,10.090236219139209,1.0156560851257304,0.09023621913920898,0.31356630431504806,1.694151045659251,1.1979456927399366,0.5989728463699683
p07_k01,0.75,1.0,15,fixed_q_0.1,0.1,9.422536844316515,1.9511636985671705,0.5774631556834855,,,,
p07_k01,0.75,1.0,15,fixed_q_0.2,0.2,9.862830362355808,1.4280049269807271,0.13716963764419177,,,,
p07_k01,0.75,1.0,15,fixed_q_0.3,0.3,10.28681544530647,0.9798573930771309,0.28681544530646974,,,,
p07_k01,0.75,1.0,15,oracle_aqf,0.2439914404485928,10.072991402712265,1.1982560967514149,0.07299140271226534,,,,
p07_k01,0.75,1.0,15,estimated_aqf,0.20823707556571408,9.911646651620142,1.3734798968560138,0.08835334837985798,0.616471193001506,1.823956800800675,1.289732222437478,0.644866111218739
p07_k01,0.75,1.0,16,fixed_q_0.1,0.1,9.257089070388142,1.9736384278991495,0.7429109296118579,,,,
p07_k01,0.75,1.0,16,fixed_q_0.2,0.2,9.963885113161274,1.2258891553621354,0.036114886838726434,,,,
p07_k01,0.75,1.0,16,fixed_q_0.3,0.3,10.349507080615545,0.8662305427181105,0.34950708061554536,,,,
p07_k01,0.75,1.0,16,oracle_aqf,0.2439914404485928,10.15665479406351,1.0398963563316121,0.15665479406350968,,,,
p07_k01,0.75,1.0,16,estimated_aqf,0.20864977453321115,10.02475842133012,1.1660101078480318,0.024758421330119518,0.6492067665368543,1.534475226140197,1.0850378379664942,0.5425189189832471
p07_k01,0.75,1.0,17,fixed_q_0.1,0.1,9.534164120561535,1.7446239732878859,0.4658358794384654,,,,
p07_k01,0.75,1.0,17,fixed_q_0.2,0.2,9.925088777515198,1.3063567549602197,0.07491122248480231,,,,
p07_k01,0.75,1.0,17,fixed_q_0.3,0.3,10.283813158074807,0.9490043920573206,0.2838131580748069,,,,
p07_k01,0.75,1.0,17,oracle_aqf,0.2439914404485928,10.118508615764242,1.1078838684914871,0.11850861576424165,,,,
p07_k01,0.75,1.0,17,estimated_aqf,0.24603221463190617,10.12678664275665,1.0996516316181266,0.12678664275665064,0.49260560113777724,1.469020309641622,1.0387542226483526,0.5193771113241763
p07_k01,0.75,1.0,18,fixed_q_0.1,0.1,9.23683529457776,2.002117472333543,0.7631647054222395,,,,
p07_k01,0.75,1.0,18,fixed_q_0.2,0.2,9.682289230060602,1.4805516384112853,0.3177107699393975,,,,
p07_k01,0.75,1.0,18,fixed_q_0.3,0.3,10.034165949906177,1.120517111586982,0.03416594990617661,,,,
p07_k01,0.75,1.0,18,oracle_aqf,0.2439914404485928,9.829285658135465,1.3239811056651545,0.17071434186453516,,,,
p07_k01,0.75,1.0,18,estimated_aqf,0.25679601324231394,9.880868604470978,1.2711676497171887,0.1191313955290223,0.45145526083690124,1.7079385729267305,1.2076949467665659,0.6038474733832829
p07_k01,0.75,1.0,19,fixed_q_0.1,0.1,9.222114631861821,2.0106712491416343,0.777885368138179,,,,
p07_k01,0.75,1.0,19,fixed_q_0.2,0.2,9.767455821307824,1.4075967805173986,0.23254417869217647,,,,
p07_k01,0.75,1.0,19,fixed_q_0.3,0.3,10.151039106040889,1.0335029837097458,0.15103910604088888,,,,
p07_k01,0.75,1.0,19,oracle_aqf,0.2439914404485928,9.945642606676468,1.2268506596721296,0.05435739332353151,,,,
p07_k01,0.75,1.0,19,estimated_aqf,0.22774578114774108,9.900993343316797,1.271235592642667,0.09900665668320308,0.5674986502982609,1.5498371383254308,1.0959003502446654,0.5479501751223327
p08_k01,0.85,1.0,0,fixed_q_0.1,0.1,9.526573528659156,1.6432640451805731,0.4734264713408436,,,,
